Zaman (sn),Voltaj (V),Label
37.8656,1.6633,1
37.8656,1.6617,1
37.8656,1.6577,1
37.8656,1.6536,1
37.8657,1.6504,1
37.8657,1.6472,1
37.8657,1.6440,1
37.9215,1.6432,1
37.9215,1.6432,1
37.9215,1.6472,1
37.9216,1.6504,1
37.9216,1.6544,1
37.9216,1.6601,1
37.9216,1.6641,1
37.9216,1.6689,1
37.9216,1.6714,1
37.9217,1.6738,1
37.9217,1.6722,1
37.9217,1.6697,1
37.9217,1.6649,1
37.9217,1.6593,1
37.9217,1.6536,1
37.9217,1.6480,1
37.9218,1.6440,1
37.9218,1.6415,1
37.9218,1.6407,1
37.9218,1.6399,1
37.9218,1.6423,1
37.9218,1.6448,1
37.9219,1.6480,1
37.9219,1.6520,1
37.9219,1.6552,1
37.9219,1.6585,1
37.9219,1.6609,1
37.9219,1.6617,1
37.9220,1.6625,1
37.9220,1.6625,1
37.9220,1.6617,1
37.9220,1.6609,1
37.9220,1.6593,1
37.9220,1.6568,1
37.9221,1.6544,1
37.9221,1.6512,1
37.9221,1.6480,1
37.9221,1.6448,1
37.9221,1.6407,1
37.9221,1.6391,1
37.9222,1.6391,1
37.9222,1.6391,1
37.9222,1.6407,1
37.9222,1.6440,1
37.9222,1.6480,1
37.9222,1.6536,1
37.9223,1.6585,1
37.9223,1.6633,1
37.9223,1.6665,1
37.9223,1.6689,1
37.9223,1.6689,1
37.9223,1.6657,1
37.9224,1.6617,1
37.9224,1.6568,1
37.9224,1.6512,1
37.9224,1.6456,1
37.9224,1.6415,1
37.9224,1.6375,1
37.9225,1.6367,1
37.9225,1.6367,1
37.9225,1.6383,1
37.9225,1.6407,1
37.9225,1.6456,1
37.9226,1.6488,1
37.9226,1.6528,1
37.9226,1.6560,1
37.9226,1.6585,1
37.9226,1.6609,1
37.9226,1.6625,1
37.9227,1.6633,1
37.9227,1.6641,1
37.9227,1.6625,1
37.9227,1.6609,1
37.9227,1.6577,1
37.9227,1.6536,1
37.9227,1.6504,1
37.9228,1.6456,1
37.9228,1.6415,1
37.9228,1.6375,1
37.9228,1.6343,1
37.9228,1.6319,1
37.9228,1.6327,1
37.9229,1.6351,1
37.9229,1.6399,1
37.9229,1.6448,1
37.9229,1.6504,1
37.9229,1.6560,1
37.9229,1.6593,1
37.9229,1.6633,1
37.9230,1.6665,1
37.9230,1.6657,1
37.9230,1.6633,1
37.9230,1.6585,1
37.9230,1.6536,1
37.9231,1.6488,1
37.9231,1.6432,1
37.9231,1.6391,1
37.9231,1.6375,1
37.9231,1.6351,1
37.9231,1.6343,1
37.9231,1.6359,1
37.9232,1.6375,1
37.9232,1.6415,1
37.9232,1.6456,1
37.9232,1.6488,1
37.9232,1.6528,1
37.9232,1.6552,1
37.9233,1.6577,1
37.9233,1.6593,1
37.9233,1.6593,1
37.9233,1.6601,1
37.9233,1.6601,1
37.9233,1.6593,1
37.9233,1.6568,1
37.9234,1.6544,1
37.9792,1.6512,1
37.9792,1.6480,1
37.9793,1.6456,1
37.9793,1.6415,1
37.9793,1.6399,1
37.9793,1.6391,1
37.9793,1.6399,1
37.9793,1.6407,1
37.9794,1.6440,1
37.9794,1.6472,1
37.9794,1.6520,1
37.9794,1.6577,1
37.9794,1.6609,1
37.9794,1.6649,1
37.9795,1.6665,1
37.9795,1.6657,1
37.9795,1.6641,1
37.9795,1.6601,1
37.9795,1.6552,1
37.9795,1.6488,1
37.9796,1.6432,1
37.9796,1.6391,1
37.9796,1.6359,1
37.9796,1.6343,1
37.9796,1.6343,1
37.9796,1.6351,1
37.9797,1.6367,1
37.9797,1.6399,1
37.9797,1.6440,1
37.9797,1.6488,1
37.9797,1.6528,1
37.9797,1.6552,1
37.9798,1.6585,1
37.9798,1.6593,1
37.9798,1.6593,1
37.9798,1.6601,1
37.9798,1.6593,1
37.9798,1.6585,1
37.9798,1.6577,1
37.9799,1.6544,1
37.9799,1.6496,1
37.9799,1.6464,1
37.9799,1.6407,1
37.9799,1.6375,1
37.9799,1.6351,1
37.9800,1.6335,1
37.9800,1.6343,1
37.9800,1.6367,1
37.9800,1.6391,1
37.9800,1.6448,1
37.9800,1.6504,1
37.9801,1.6560,1
37.9801,1.6609,1
37.9801,1.6649,1
37.9801,1.6673,1
37.9801,1.6673,1
37.9801,1.6641,1
37.9801,1.6601,1
37.9802,1.6544,1
37.9802,1.6488,1
37.9802,1.6432,1
37.9802,1.6391,1
37.9802,1.6367,1
37.9802,1.6359,1
37.9803,1.6351,1
37.9803,1.6359,1
37.9803,1.6391,1
37.9804,1.6432,1
37.9804,1.6480,1
37.9804,1.6520,1
37.9804,1.6544,1
37.9804,1.6577,1
37.9804,1.6593,1
37.9804,1.6593,1
37.9805,1.6601,1
37.9805,1.6601,1
37.9805,1.6593,1
37.9805,1.6585,1
37.9805,1.6601,1
37.9805,1.6568,1
37.9806,1.6528,1
37.9806,1.6488,1
37.9806,1.6456,1
37.9806,1.6391,1
37.9806,1.6399,1
37.9806,1.6383,1
37.9807,1.6383,1
37.9807,1.6375,1
37.9807,1.6375,1
37.9807,1.6432,1
37.9807,1.6488,1
37.9807,1.6544,1
37.9808,1.6593,1
37.9808,1.6673,1
37.9808,1.6673,1
37.9808,1.6673,1
37.9808,1.6649,1
37.9808,1.6633,1
37.9808,1.6577,1
37.9809,1.6512,1
37.9809,1.6464,1
37.9809,1.6415,1
37.9809,1.6383,1
37.9809,1.6383,1
37.9809,1.6335,1
37.9810,1.6351,1
37.9810,1.6391,1
37.9810,1.6432,1
37.9810,1.6496,1
37.9810,1.6528,1
