Zaman (sn),Voltaj (V),Label
1.2696,1.7149,1
1.2696,1.7310,1
1.2697,1.7544,1
1.2697,1.7689,1
1.2720,1.7697,1
1.2720,1.7664,1
1.2720,1.7640,1
1.2720,1.7568,1
1.2721,1.7471,1
1.2743,1.7310,1
1.2743,1.7108,1
1.2744,1.6899,1
1.2744,1.6730,1
1.2744,1.6528,1
1.2766,1.6375,1
1.2767,1.6214,1
1.2767,1.6141,1
1.2767,1.6085,1
1.2792,1.6117,1
1.2792,1.6133,1
1.2792,1.6230,1
1.2793,1.6182,1
1.2793,1.6432,1
1.2826,1.6496,1
1.2826,1.6568,1
1.2826,1.6649,1
1.2826,1.6641,1
1.2827,1.6617,1
1.2827,1.6609,1
1.2827,1.6552,1
1.2851,1.6496,1
1.2851,1.6423,1
1.2851,1.6343,1
1.2851,1.6222,1
1.2851,1.6141,1
1.2875,1.6069,1
1.2875,1.6109,1
1.2875,1.6149,1
1.2875,1.6262,1
1.2875,1.6367,1
1.2901,1.6520,1
1.2901,1.6689,1
1.2901,1.6778,1
1.2901,1.6899,1
1.2901,1.6907,1
1.2925,1.6931,1
1.2925,1.6915,1
1.2925,1.6859,1
1.2926,1.6859,1
1.2926,1.6714,1
1.2949,1.6641,1
1.2950,1.6520,1
1.2950,1.6383,1
1.2950,1.6367,1
1.2950,1.6190,1
1.2975,1.6109,1
1.2975,1.6117,1
1.2975,1.6133,1
1.2976,1.6206,1
1.2976,1.6262,1
1.3009,1.6423,1
1.3009,1.6512,1
1.3009,1.6649,1
1.3009,1.6770,1
1.3010,1.6818,1
1.3010,1.6810,1
1.3010,1.6842,1
1.3035,1.6834,1
1.3035,1.6778,1
1.3035,1.6714,1
1.3035,1.6585,1
1.3035,1.6528,1
1.3058,1.6399,1
1.3059,1.6278,1
1.3059,1.6133,1
1.3059,1.6069,1
1.3059,1.6069,1
1.3083,1.6085,1
1.3083,1.6238,1
1.3083,1.6335,1
1.3083,1.6496,1
1.3084,1.6649,1
1.3108,1.6794,1
1.3108,1.6867,1
1.3108,1.6875,1
