Zaman (sn),CH1 (V),CH2 (V),Label
6.0318,1.6681,1.6278,1
6.0318,1.6714,1.6230,1
6.0318,1.6754,1.6149,1
6.0318,1.6778,1.6222,1
6.0318,1.6738,1.6230,1
6.0318,1.6786,1.6254,1
6.0318,1.6794,1.6440,1
6.0318,1.6786,1.6319,1
6.0318,1.6770,1.6222,1
6.0318,1.6794,1.6206,1
6.0318,1.6810,1.6190,1
6.0318,1.6730,1.6214,1
6.0318,1.6722,1.6286,1
6.0318,1.6754,1.6149,1
6.0318,1.6746,1.6238,1
6.0318,1.6730,1.6158,1
6.0318,1.6746,1.6101,1
6.0318,1.6730,1.6141,1
6.0318,1.6730,1.6149,1
6.0318,1.6786,1.6198,1
6.0318,1.6794,1.6286,1
6.0318,1.6770,1.6198,1
6.0318,1.6754,1.6053,1
6.0318,1.6754,1.6029,1
6.0318,1.6738,1.5964,1
6.0318,1.6681,1.6093,1
6.0318,1.6714,1.6093,1
6.0318,1.6754,1.6093,1
6.0318,1.6738,1.6206,1
6.0318,1.6689,1.6149,1
6.0318,1.6705,1.6045,1
6.0318,1.6722,1.6166,1
6.0318,1.6681,1.6295,1
6.0318,1.6697,1.6552,1
6.0318,1.6746,1.6496,1
6.0318,1.6778,1.6464,1
6.0318,1.6705,1.6448,1
6.0318,1.6730,1.6391,1
6.0801,1.6714,1.6448,1
6.0801,1.6681,1.6423,1
6.0801,1.6705,1.6343,1
6.0801,1.6738,1.6230,1
6.0801,1.6770,1.6190,1
6.0801,1.6794,1.6045,1
6.0801,1.6818,1.5972,1
6.0801,1.6802,1.5980,1
6.0801,1.6794,1.6029,1
6.0801,1.6794,1.6101,1
6.0801,1.6810,1.6004,1
6.0801,1.6810,1.6101,1
6.0801,1.6770,1.6133,1
6.0801,1.6778,1.6295,1
6.0801,1.6746,1.6093,1
6.0801,1.6593,1.6045,1
6.0801,1.6577,1.6343,1
6.0801,1.6609,1.6351,1
6.0801,1.6641,1.6440,1
6.0801,1.6633,1.6504,1
6.0801,1.6697,1.6488,1
6.0801,1.6681,1.6399,1
6.0801,1.6681,1.6351,1
6.0801,1.6665,1.6230,1
6.0801,1.6730,1.6536,1
6.0801,1.6802,1.6504,1
6.0801,1.6786,1.6246,1
6.0801,1.6794,1.6238,1
6.0801,1.6786,1.6085,1
6.0801,1.6746,1.5996,1
6.0801,1.6714,1.5980,1
6.0801,1.6754,1.6012,1
6.0801,1.6754,1.6077,1
6.0801,1.6730,1.6141,1
6.0801,1.6714,1.6029,1
6.0801,1.6762,1.6077,1
6.0801,1.6754,1.6222,1
6.0801,1.6738,1.6158,1
6.0801,1.6770,1.6117,1
6.0801,1.6762,1.6093,1
6.0801,1.6722,1.6504,1
6.0801,1.6705,1.6440,1
6.0801,1.6722,1.6399,1
6.0801,1.6714,1.6303,1
6.0801,1.6738,1.6254,1
6.0801,1.6778,1.6222,1
6.0801,1.6770,1.6182,1
6.0801,1.6697,1.6270,1
6.0801,1.6633,1.6319,1
