Zaman (sn),CH1 (V),CH2 (V),Label
6.0801,1.6665,1.6399,1
6.0801,1.6673,1.5972,1
6.0801,1.6681,1.6230,1
6.0801,1.6689,1.6311,1
6.0801,1.6722,1.6423,1
6.0801,1.6681,1.6577,1
6.0801,1.6665,1.6464,1
6.0801,1.6689,1.6391,1
6.0801,1.6746,1.6295,1
6.0801,1.6754,1.6448,1
6.0801,1.6746,1.6504,1
6.0801,1.6762,1.6488,1
6.0801,1.6754,1.6270,1
6.0801,1.6754,1.6158,1
6.0801,1.6786,1.6174,1
6.0801,1.6762,1.6149,1
6.0801,1.6762,1.6359,1
6.0801,1.6778,1.6375,1
6.0801,1.6802,1.6423,1
6.0801,1.6802,1.6335,1
6.0801,1.6842,1.6246,1
6.0801,1.6851,1.6230,1
6.0801,1.6851,1.6246,1
6.0801,1.6834,1.6303,1
6.0801,1.6875,1.6190,1
6.0801,1.6842,1.6004,1
6.0801,1.6754,1.5956,1
6.0801,1.6705,1.5972,1
6.0801,1.6714,1.6012,1
6.0801,1.6754,1.5875,1
6.0801,1.6681,1.5779,1
6.0801,1.6722,1.5747,1
6.0801,1.6697,1.5738,1
6.0801,1.6738,1.5835,1
6.0801,1.6665,1.5956,1
6.0801,1.6770,1.6117,1
6.0801,1.6802,1.6158,1
6.0801,1.6810,1.6174,1
6.0801,1.6810,1.6133,1
6.0801,1.6851,1.6214,1
6.0801,1.6842,1.6359,1
6.0801,1.6794,1.6415,1
6.0801,1.6867,1.6480,1
6.0801,1.6818,1.6407,1
6.0801,1.6818,1.6295,1
6.0801,1.6786,1.6214,1
6.0801,1.6818,1.6029,1
6.1280,1.6834,1.5988,1
6.1280,1.6818,1.5964,1
6.1280,1.6794,1.6149,1
6.1280,1.6810,1.6085,1
6.1280,1.6786,1.6021,1
6.1280,1.6786,1.5988,1
6.1280,1.6810,1.5996,1
6.1280,1.6786,1.5964,1
6.1280,1.6762,1.5996,1
6.1280,1.6794,1.6222,1
6.1280,1.6746,1.6343,1
6.1280,1.6714,1.6359,1
6.1280,1.6689,1.6125,1
6.1280,1.6770,1.6222,1
6.1280,1.6802,1.6472,1
6.1280,1.6770,1.6488,1
6.1280,1.6778,1.6440,1
6.1280,1.6794,1.6512,1
6.1280,1.6794,1.6496,1
6.1280,1.6770,1.6399,1
6.1280,1.6834,1.6432,1
6.1280,1.6842,1.6432,1
6.1280,1.6818,1.6601,1
