Zaman (sn),CH1 (V),CH2 (V),CH3 (V),Label
1.4911,2.2637,2.4780,1.6303,1
1.4911,2.2669,2.5538,1.6262,1
1.4911,2.2766,2.5634,1.6270,1
1.4911,2.2701,2.6029,1.6270,1
1.4911,2.2693,2.6215,1.6311,1
1.4911,2.2588,2.6110,1.6343,1
1.4911,2.2548,2.5457,1.6319,1
1.4911,2.2774,2.4063,1.6278,1
1.4911,2.2749,2.2749,1.6262,1
1.4911,2.2725,2.1992,1.6303,1
1.4911,2.2782,2.1259,1.6327,1
1.4911,2.2741,2.0993,1.6359,1
1.4911,2.2701,2.1460,1.6286,1
1.4911,2.2782,2.1936,1.6319,1
1.4911,2.2693,2.3370,1.6335,1
1.4911,2.2556,2.3733,1.6327,1
1.4911,2.2419,2.3829,1.6303,1
1.4911,2.2403,2.3668,1.6295,1
1.4911,2.2371,2.3765,1.6295,1
1.4911,2.2306,2.3346,1.6238,1
1.4911,2.2290,2.3185,1.6254,1
1.4911,2.2298,2.2959,1.6182,1
1.4911,2.2322,2.2089,1.6190,1
1.4911,2.2355,2.0501,1.6166,1
1.4911,2.2484,1.8027,1.6117,1
1.4911,2.2540,1.7028,1.6158,1
1.4911,2.2580,1.6504,1.6174,1
1.4911,2.2669,1.7092,1.6166,1
1.4911,2.2709,1.7914,1.5626,1
1.4911,2.2677,1.9325,1.5666,1
1.4911,2.2347,2.0614,1.5698,1
1.4911,2.2330,2.1839,1.5569,1
1.4911,2.2484,2.3152,1.5722,1
1.4911,2.2435,2.4772,1.5690,1
1.4911,2.2363,2.6400,1.5738,1
1.4911,2.2371,2.7222,1.5795,1
1.4911,2.2403,2.7528,1.5835,1
1.4911,2.2250,2.6948,1.5618,1
1.4911,2.2048,2.5215,1.6327,1
1.4911,2.1887,2.2911,1.6238,1
1.4911,2.1976,1.9913,1.6214,1
1.4911,2.1702,1.7068,1.6407,1
1.4911,2.1323,1.5174,1.6254,1
1.4911,2.1516,1.4215,1.6254,1
1.4911,2.2201,1.3845,1.6182,1
1.4911,2.2895,1.4642,1.6077,1
1.4911,2.2991,1.5344,1.6029,1
1.4911,2.2975,1.5593,1.6206,1
1.4911,2.2951,1.6738,1.6012,1
1.4911,2.2967,1.8382,1.6029,1
1.4911,2.3080,2.0678,1.5972,1
1.4911,2.3346,2.2669,1.6029,1
1.4911,2.3636,2.3757,1.6012,1
1.4911,2.3370,2.4063,1.5996,1
1.4911,2.2645,2.3072,1.6004,1
1.4921,2.1911,2.1001,1.6077,1
1.4921,2.1750,1.9494,1.6077,1
1.4921,2.1823,1.8905,1.6093,1
1.4921,2.2048,1.8454,1.6101,1
1.4921,2.2363,1.8615,1.6158,1
1.4921,2.2588,1.9115,1.6206,1
1.4921,2.2677,1.9590,1.6158,1
1.4921,2.2629,2.0324,1.6222,1
1.4921,2.2677,2.0952,1.6278,1
1.4921,2.2685,2.1847,1.6295,1
1.4921,2.2709,2.3217,1.6182,1
1.4921,2.2790,2.4087,1.6230,1
1.4921,2.2895,2.4377,1.6278,1
1.4921,2.2862,2.4144,1.6367,1
1.4921,2.2749,2.2991,1.6399,1
1.4921,2.2701,2.1653,1.6432,1
1.4921,2.2717,2.0743,1.6440,1
1.4921,2.2790,2.0235,1.6399,1
1.4921,2.2846,2.0259,1.6448,1
1.4921,2.2919,2.0775,1.6464,1
1.4921,2.3032,2.0912,1.6585,1
1.4921,2.2991,2.1363,1.6504,1
1.4921,2.2983,2.2048,1.6496,1
1.4921,2.3015,2.2556,1.6440,1
1.4921,2.2983,2.3257,1.6383,1
1.4921,2.2886,2.3515,1.6327,1
1.4921,2.2749,2.3660,1.6303,1
1.4921,2.2749,2.3652,1.6238,1
1.4921,2.2822,2.3716,1.6166,1
1.4921,2.2846,2.3805,1.6206,1
1.4921,2.2798,2.4071,1.6230,1
1.4921,2.2822,2.4063,1.6286,1
1.4921,2.2741,2.4103,1.6222,1
1.4921,2.2645,2.4716,1.6198,1
1.4921,2.2629,2.4297,1.6222,1
1.4921,2.2701,2.4498,1.6278,1
1.4921,2.2749,2.4796,1.6270,1
1.4921,2.2629,2.4829,1.6311,1
1.4921,2.2588,2.4659,1.6311,1
1.4921,2.2540,2.4442,1.6278,1
1.5356,2.2556,2.4031,1.6262,1
1.5356,2.2564,2.3765,1.6278,1
1.5356,2.2701,2.3459,1.6319,1
1.5356,2.2782,2.2766,1.6311,1
1.5356,2.2838,2.3080,1.6230,1
1.5356,2.2782,2.3056,1.6198,1
1.5356,2.2878,2.2371,1.6786,1
1.5356,2.2854,2.1388,1.7141,1
1.5356,2.2693,2.0614,1.6996,1
1.5356,2.2596,2.0098,1.6971,1
1.5356,2.2596,2.0066,1.6891,1
1.5356,2.2669,2.0308,1.6875,1
1.5356,2.2637,2.0590,1.6810,1
1.5356,2.2604,2.0509,1.6802,1
1.5356,2.2621,2.0799,1.6883,1
1.5356,2.2766,2.1291,1.6875,1
1.5356,2.2653,2.1895,1.6278,1
1.5356,2.2725,2.2854,1.6270,1
1.5356,2.2790,2.3644,1.6415,1
1.5356,2.2878,2.4393,1.6440,1
1.5356,2.2927,2.4530,1.6536,1
1.5356,2.2822,2.3990,1.6496,1
1.5356,2.2749,2.2201,1.6552,1
1.5356,2.2733,2.0558,1.6625,1
1.5356,2.2621,1.8978,1.6665,1
1.5356,2.2492,1.7874,1.6762,1
1.5356,2.2459,1.7350,1.6705,1
1.5356,2.2427,1.7407,1.6423,1
1.5356,2.2459,1.7769,1.6440,1
1.5356,2.2459,1.7947,1.6488,1
1.5356,2.2411,1.8237,1.6504,1
1.5356,2.2435,1.8656,1.6552,1
1.5356,2.2475,2.0034,1.6552,1
1.5356,2.2500,2.1452,1.6560,1
1.5356,2.2556,2.2492,1.6552,1
1.5356,2.2556,2.2846,1.6448,1
1.5356,2.2596,2.2983,1.6432,1
1.5356,2.2661,2.2484,1.6391,1
1.5356,2.2669,2.1468,1.6383,1
1.5356,2.2653,2.0719,1.6536,1
1.5356,2.2612,2.0412,1.6432,1
1.5356,2.2645,2.0525,1.6375,1
1.5356,2.2588,2.0646,1.6335,1
1.5356,2.2516,2.0920,1.6270,1
1.5356,2.2532,2.1516,1.6262,1
1.5356,2.2492,2.2226,1.6278,1
1.5356,2.2451,2.2629,1.6311,1
1.5356,2.2443,2.2733,1.6270,1
1.5356,2.2395,2.2733,1.6230,1
1.5356,2.2419,2.2322,1.6053,1
1.5356,2.2451,2.1291,1.6077,1
1.5356,2.2427,2.0606,1.6085,1
1.5356,2.2443,2.0396,1.6101,1
1.5356,2.2500,2.0058,1.6117,1
1.5356,2.2508,1.9300,1.6101,1
1.5356,2.2564,1.9083,1.6085,1
1.5356,2.2637,1.9252,1.6077,1
1.5356,2.2612,1.9647,1.6166,1
1.5356,2.2653,2.0018,1.6246,1
1.5356,2.2669,2.0598,1.6222,1
1.5356,2.2629,2.1291,1.6303,1
1.5356,2.2596,2.1404,1.6303,1
1.5356,2.2580,2.1186,1.6343,1
1.5356,2.2564,2.1259,1.6399,1
1.5356,2.2572,2.1516,1.6432,1
1.5356,2.2596,2.1057,1.6423,1
1.5356,2.2580,1.9913,1.6399,1
1.5356,2.2588,1.8075,1.6335,1
1.5356,2.2548,1.6432,1.6319,1
1.5356,2.2524,1.4941,1.6351,1
1.5356,2.2580,1.4248,1.6351,1
1.5356,2.2572,1.4973,1.6351,1
1.5356,2.2532,1.6996,1.6278,1
1.5356,2.2484,1.9389,1.6278,1
1.5356,2.2508,2.1283,1.6319,1
1.5356,2.2467,2.2911,1.6311,1
1.5356,2.2427,2.4821,1.6327,1
1.5356,2.2451,2.7480,1.6415,1
1.5356,2.2459,2.9341,1.6407,1
1.5356,2.2419,3.0333,1.6367,1
1.5356,2.2363,3.0212,1.6295,1
1.5356,2.2355,2.8826,1.6295,1
1.5356,2.2459,2.6319,1.6351,1
1.5356,2.2459,2.3660,1.6303,1
1.5356,2.2403,2.1637,1.6230,1
1.5356,2.2387,2.0147,1.6238,1
1.5356,2.2403,1.9083,1.6230,1
1.5356,2.2274,1.7689,1.6174,1
1.5846,2.2129,1.6802,1.6182,1
1.5846,2.2048,1.6641,1.6133,1
1.5846,2.2056,1.7245,1.6182,1
1.5846,2.2153,1.8358,1.6149,1
1.5846,2.2201,1.9727,1.6149,1
1.5846,2.2226,2.0920,1.6149,1
1.5846,2.2193,2.1339,1.6174,1
1.5846,2.2089,2.1339,1.6158,1
1.5846,2.2073,2.1573,1.6174,1
1.5846,2.2161,2.2338,1.6230,1
1.5846,2.2363,2.3442,1.6198,1
1.5846,2.2451,2.4482,1.6238,1
1.5846,2.2548,2.4966,1.6190,1
1.5846,2.2395,2.4732,1.6238,1
1.5846,2.2234,2.4136,1.6262,1
1.5846,2.2290,2.3410,1.6286,1
1.5846,2.2403,2.3338,1.6278,1
1.5846,2.2580,2.3459,1.6286,1
1.5846,2.2903,2.3104,1.6262,1
1.5846,2.2661,2.2653,1.6238,1
1.5846,2.2484,2.2516,1.6222,1
1.5846,2.2500,2.2459,1.6222,1
1.5846,2.2338,2.2427,1.6278,1
1.5846,2.2355,2.2242,1.6230,1
1.5846,2.2290,2.2153,1.6230,1
1.5846,2.2234,2.2081,1.6238,1
1.5846,2.2105,2.1549,1.6222,1
1.5846,2.2105,2.1057,1.6190,1
1.5846,2.1790,2.0767,1.6198,1
1.5846,2.1944,2.0533,1.6238,1
1.5846,2.2081,2.0147,1.6278,1
1.5846,2.2121,1.9719,1.6262,1
1.5846,2.2234,1.9744,1.6198,1
1.5846,2.2306,2.0251,1.6214,1
1.5846,2.2419,2.0856,1.6198,1
1.5846,2.2435,2.1686,1.6182,1
1.5846,2.2500,2.3023,1.6182,1
1.5846,2.2395,2.4273,1.6238,1
1.5846,2.2330,2.5095,1.6278,1
1.5846,2.2387,2.5288,1.6286,1
1.5846,2.2443,2.4982,1.6327,1
1.5846,2.2959,2.4514,1.6335,1
1.5846,2.2878,2.4039,1.6359,1
1.5846,2.2838,2.3378,1.6359,1
1.5846,2.2749,2.2564,1.6351,1
1.5846,2.2669,2.1484,1.6383,1
1.5846,2.2556,2.0453,1.6367,1
1.5846,2.2516,1.9599,1.6319,1
1.5846,2.2403,1.9204,1.6278,1
1.5846,2.2073,1.9381,1.6270,1
1.5846,2.2048,1.9760,1.6222,1
1.5846,2.1444,2.0042,1.6206,1
1.5846,2.1476,2.0082,1.6109,1
1.5846,2.1516,2.0130,1.6101,1
1.5846,2.1613,1.9566,1.6133,1
1.5846,2.1734,1.8470,1.6069,1
1.5846,2.1879,1.7576,1.6101,1
1.5846,2.1992,1.6842,1.6117,1
1.5846,2.2193,1.6697,1.6190,1
1.5846,2.2484,1.7012,1.6166,1
1.5846,2.2459,1.7753,1.6198,1
1.5846,2.2524,1.8140,1.6198,1
1.5846,2.2459,1.8994,1.6254,1
1.5846,2.2403,2.0219,1.6238,1
1.5846,2.2371,2.2113,1.6214,1
1.5846,2.2250,2.4200,1.6238,1
1.5846,2.2210,2.5586,1.6222,1
1.5846,2.2218,2.6247,1.6206,1
1.5846,2.2218,2.5828,1.6101,1
1.5846,2.2169,2.4845,1.6133,1
1.5846,2.2016,2.3015,1.6101,1
1.5846,2.1871,2.1589,1.6117,1
1.5846,2.1758,2.0179,1.6125,1
1.5846,2.1823,1.8640,1.6190,1
1.5846,2.1992,1.7310,1.6222,1
1.5846,2.2137,1.6544,1.6246,1
1.5846,2.2137,1.6190,1.6278,1
1.5846,2.2048,1.6359,1.6246,1
1.5846,2.1936,1.7100,1.6278,1
1.5846,2.2000,1.7947,1.6222,1
1.5846,2.2056,1.9099,1.6198,1
1.5846,2.2121,2.0477,1.6206,1
1.5846,2.2210,2.1468,1.6222,1
1.5846,2.2113,2.2258,1.6214,1
1.5846,2.1944,2.2685,1.6270,1
1.5846,2.1831,2.3023,1.6222,1
1.5846,2.1790,2.3442,1.6182,1
1.5846,2.1807,2.3853,1.6117,1
1.5846,2.1782,2.4200,1.6125,1
1.5846,2.1718,2.4474,1.6141,1
1.5846,2.1807,2.4933,1.6174,1
1.5846,2.1936,2.5159,1.6174,1
1.5846,2.2032,2.4877,1.6182,1
1.5846,2.2032,2.4925,1.6214,1
1.5846,2.2016,2.5143,1.6125,1
1.5846,2.1984,2.4933,1.6109,1
1.5846,2.1968,2.4466,1.6141,1
1.5846,2.2000,2.3789,1.6262,1
1.5846,2.2089,2.3080,1.6327,1
1.6321,2.2024,2.2435,1.6335,1
1.6321,2.1895,2.2113,1.6311,1
1.6321,2.1831,2.1573,1.6286,1
1.6321,2.1766,2.1122,1.6303,1
1.6321,2.1911,2.0300,1.6303,1
1.6321,2.1952,1.9582,1.6278,1
1.6321,2.1952,1.8752,1.6262,1
1.6321,2.1927,1.8035,1.6238,1
1.6321,2.1871,1.7922,1.6206,1
1.6321,2.1863,1.8277,1.6190,1
1.6321,2.1936,1.9002,1.6166,1
1.6321,2.2040,1.9542,1.6303,1
1.6321,2.2040,2.0807,1.6351,1
