Zaman (sn),CH1 (V),CH2 (V),CH3 (V),Label
1.8615,1.6069,1.6786,1.6448,1
1.8615,1.6077,1.6818,1.6456,1
1.8615,1.6069,1.6883,1.6464,1
1.8615,1.6045,1.6907,1.6448,1
1.8615,1.6053,1.6859,1.6456,1
1.8615,1.6085,1.6794,1.6472,1
1.8615,1.6085,1.6851,1.6423,1
1.8615,1.6069,1.6891,1.6391,1
1.8615,1.6093,1.6891,1.6399,1
1.8615,1.6166,1.6851,1.6423,1
1.8615,1.6158,1.6842,1.6456,1
1.8615,1.6125,1.6996,1.6472,1
1.8615,1.6117,1.6979,1.6456,1
1.8615,1.6141,1.6955,1.6440,1
1.8615,1.6093,1.7068,1.6375,1
1.8615,1.6053,1.7141,1.6375,1
1.8615,1.6077,1.7133,1.6528,1
1.8615,1.6093,1.7076,1.6351,1
1.8615,1.6085,1.6931,1.6335,1
1.8615,1.5948,1.6818,1.6311,1
1.8615,1.6004,1.6754,1.6295,1
1.8615,1.6029,1.6577,1.6230,1
1.8615,1.6029,1.6633,1.6311,1
1.8615,1.6037,1.6649,1.6303,1
1.8615,1.6117,1.6673,1.6311,1
1.8615,1.6149,1.6681,1.6335,1
1.8615,1.6141,1.6665,1.6206,1
1.8615,1.6141,1.6851,1.6415,1
1.8615,1.6158,1.6923,1.6480,1
1.8615,1.6246,1.7125,1.6472,1
1.8615,1.6262,1.7100,1.6560,1
1.8615,1.6206,1.7133,1.6641,1
1.8615,1.6214,1.6891,1.6560,1
1.8615,1.6166,1.6915,1.6117,1
1.8615,1.6101,1.6851,1.6125,1
1.8615,1.6053,1.6834,1.6174,1
1.8615,1.6021,1.6810,1.6190,1
1.8615,1.5964,1.6625,1.6246,1
1.8615,1.5972,1.6657,1.6190,1
1.8615,1.5964,1.6544,1.6230,1
1.8615,1.5932,1.6641,1.6158,1
1.8615,1.5948,1.6617,1.6133,1
1.8615,1.5940,1.6794,1.6158,1
1.8615,1.6012,1.6818,1.6568,1
1.8615,1.6053,1.6842,1.6585,1
